================================================================================
动销品管理记录 - 2025-10-25
表名: ROA1_IT
记录时间: 2025-12-04 20:11:45
================================================================================

【统计信息】
日期：2025-10-25
上升期：23个
非上升期：50个
新增上升期：0个
新增非上升期：0个
更新为上升期：1个
由非上升期重回上升期：1个
！！！由上升期到非上升期：7个

【上升期商品】
商品数量: 23个

603312359348101 - 加入时间: 2025-10-23, Reason: None
603694074560113 - 加入时间: 2025-11-23, Reason: None
603707496316907 - 加入时间: 2025-10-01, Reason: None
603710180692355 - 加入时间: 2025-10-20, Reason: None
603710449125439 - 加入时间: 2025-10-05, Reason: None
603718770644317 - 加入时间: 2025-11-09, Reason: None
603740245447038 - 加入时间: 2025-10-17, Reason: None
603743466671568 - 加入时间: 2025-10-19, Reason: None
603763330935753 - 加入时间: 2025-11-29, Reason: None
603769773372220 - 加入时间: 2025-10-08, Reason: None
603779973912352 - 加入时间: 2025-10-20, Reason: None
603789100685498 - 加入时间: 2025-11-13, Reason: None
603796080027482 - 加入时间: 2025-10-22, Reason: None
603797153803919 - 加入时间: 2025-11-29, Reason: None
603805743739400 - 加入时间: 2025-10-16, Reason: None
603808428040972 - 加入时间: 2025-10-26, Reason: None
603814870504482 - 加入时间: 2025-10-19, Reason: None
603819165476113 - 加入时间: 2025-10-21, Reason: None
603850840857655 - 加入时间: 2025-10-22, Reason: None
603866410121914 - 加入时间: 2025-11-21, Reason: None
603911507312431 - 加入时间: 2025-10-26, Reason: None
603917949754824 - 加入时间: 2025-10-20, Reason: None
603945867039859 - 加入时间: 2025-10-24, Reason: None
603958751910511 - 加入时间: 2025-10-20, Reason: None
603963583750433 - 加入时间: 2025-10-20, Reason: None
604001701614524 - 加入时间: 2025-11-24, Reason: None
604006533420885 - 加入时间: 2025-11-20, Reason: None
604016197129272 - 加入时间: 2025-11-21, Reason: None
604016733965216 - 加入时间: 2025-11-14, Reason: None
604031766385686 - 加入时间: 2025-10-29, Reason: None
604039819405507 - 加入时间: 2025-10-05, Reason: None
604053778099021 - 加入时间: 2025-11-10, Reason: None
604059683662885 - 加入时间: 2025-11-07, Reason: None
604075252913246 - 加入时间: 2025-11-30, Reason: None
604084916554516 - 加入时间: 2025-10-18, Reason: None
604094580244547 - 加入时间: 2025-10-23, Reason: None
604123571295245 - 加入时间: 2025-11-18, Reason: None
604124645039890 - 加入时间: 2025-10-19, Reason: None
604131087451717 - 加入时间: 2025-11-19, Reason: None
604136993070705 - 加入时间: 2025-10-17, Reason: None
604140751184148 - 加入时间: 2025-10-26, Reason: None
604146119860967 - 加入时间: 2025-10-03, Reason: None
604150414853855 - 加入时间: 2025-11-05, Reason: None
604162225990748 - 加入时间: 2025-10-13, Reason: None
604170815929973 - 加入时间: 2025-10-16, Reason: None
604181553334375 - 加入时间: 2025-11-19, Reason: None
604201417603338 - 加入时间: 2025-10-19, Reason: None
604204101898286 - 加入时间: 2025-11-30, Reason: None
604222892409474 - 加入时间: 2025-11-18, Reason: None
604224503009019 - 加入时间: 2025-11-25, Reason: None
604230945493581 - 加入时间: 2025-10-23, Reason: None
604232019206621 - 加入时间: 2025-10-24, Reason: None
604256715296309 - 加入时间: 2025-10-26, Reason: None
604267452687357 - 加入时间: 2025-10-20, Reason: None
604311476119644 - 加入时间: 2025-11-29, Reason: None
604317381709848 - 加入时间: 2025-11-25, Reason: None
604368921294911 - 加入时间: 2025-10-29, Reason: None
604368921320661 - 加入时间: 2025-10-23, Reason: None
604377511206552 - 加入时间: 2025-11-23, Reason: None
604378048134110 - 加入时间: 2025-12-01, Reason: None
604397643858775 - 加入时间: 2025-11-30, Reason: None

================================================================================
